timestamp,Storm ID,BASIN,Season,SEASON TC NUMBER,Latitude (degrees),Longitude (degrees),VMAX (kt),Peak VMAX (kt),ACE,Maximum 24h Intensification,Tropical SST,Local SST,Local Month Mean
1985-06-24 12:00:00,1985-N-6,WP,1985.0,6.0,8.1,135.9,25.0,90.0,1.2735,20.0,27.230225,29.067007,29.426014
1984-12-26 06:00:00,1985-S-7,SP,1985.0,7.0,-8.7,178.2,25.0,45.0,0.16,15.0,26.975523,28.77605,29.59564
1985-07-21 00:00:00,1985-N-7,WP,1985.0,7.0,19.4,146.0,20.0,75.0,1.17775,25.0,26.852379,28.931005,29.497227
1984-12-26 12:00:00,1985-S-8,SP,1985.0,8.0,-11.3,165.0,20.0,45.0,0.171,15.0,26.975523,28.898659,29.172642
1985-07-31 06:00:00,1985-N-8,WP,1985.0,8.0,20.8,145.9,20.0,85.0,1.3465,15.0,26.852379,28.918764,29.477942
1985-01-10 00:00:00,1985-S-9,SP,1985.0,9.0,-11.3,184.1,25.0,50.0,0.26,10.0,26.953972,28.213795,29.235456
1985-08-10 06:00:00,1985-N-9,WP,1985.0,9.0,22.7,131.3,25.0,60.0,0.38225,15.0,26.585503,27.8375,29.070309
1985-01-10 06:00:00,1985-S-10,SI,1985.0,10.0,-10.8,65.7,20.0,65.0,0.985,15.0,26.953972,27.88202,28.499151
1985-08-15 06:00:00,1985-N-10,WP,1985.0,10.0,25.2,124.4,25.0,70.0,0.55525,25.0,26.585503,28.127403,28.842028
1985-01-12 00:00:00,1985-S-11,SP,1985.0,11.0,-15.8,161.1,25.0,100.0,1.11075,25.0,26.953972,28.42995,28.67985
1985-08-16 12:00:00,1985-N-11,WP,1985.0,11.0,17.3,143.6,15.0,95.0,1.35225,25.0,26.585503,28.87064,29.446072
1985-08-23 00:00:00,1985-N-12,WP,1985.0,12.0,18.4,141.1,25.0,90.0,1.91325,20.0,26.585503,28.9525,29.448107
1985-01-14 00:00:00,1985-S-13,SP,1985.0,13.0,-16.3,150.9,25.0,105.0,1.08975,25.0,26.953972,28.337349,28.629652
1985-08-27 00:00:00,1985-N-13,WP,1985.0,13.0,21.3,125.8,45.0,95.0,1.106,15.0,26.585503,28.581572,29.09914
1985-01-16 18:00:00,1985-S-14,SP,1985.0,14.0,-14.7,146.3,25.0,100.0,1.0165,30.0,26.953972,28.35201,28.921825
1985-08-27 00:00:00,1985-N-14,WP,1985.0,14.0,21.6,139.0,25.0,55.0,0.39525,25.0,26.585503,28.630903,29.205608
1985-01-24 12:00:00,1985-S-15,SP,1985.0,15.0,-14.9,203.4,25.0,80.0,0.6165,25.0,26.953972,27.707222,28.609097
1985-01-26 00:00:00,1985-S-16,SI,1985.0,16.0,-12.6,68.3,25.0,70.0,0.6705,15.0,26.953972,27.835102,28.410799
1985-08-31 18:00:00,1985-N-16,WP,1985.0,16.0,15.0,134.0,25.0,75.0,0.66125,20.0,26.585503,28.694668,29.23277
1985-01-29 00:00:00,1985-S-17,SI,1985.0,17.0,-18.0,120.6,25.0,55.0,0.1925,15.0,26.953972,28.287645,29.338154
1985-09-13 06:00:00,1985-N-17,WP,1985.0,17.0,14.2,141.7,25.0,50.0,0.26575,10.0,26.645681,28.813366,29.353546
1985-09-19 00:00:00,1985-N-18,WP,1985.0,18.0,14.8,115.0,25.0,50.0,0.17875,20.0,26.645681,27.855633,28.776562
1985-02-05 06:00:00,1985-S-19,SI,1985.0,19.0,-12.2,70.1,30.0,50.0,0.285,15.0,27.225605,27.909775,28.659697
1985-09-27 00:00:00,1985-N-19,WP,1985.0,19.0,18.4,117.3,25.0,70.0,0.566,25.0,26.645681,27.88904,28.813528
1985-02-10 18:00:00,1985-S-20,SI,1985.0,20.0,-14.4,127.2,20.0,55.0,0.49825,15.0,27.225605,30.367376,29.664341
1985-09-29 06:00:00,1985-N-20,WP,1985.0,20.0,16.7,132.9,20.0,90.0,1.1445,25.0,26.645681,28.516245,29.20844
1985-10-11 18:00:00,1985-N-21,WP,1985.0,21.0,7.0,155.5,20.0,150.0,3.4935,50.0,26.828287,29.002527,29.458817
1985-02-13 06:00:00,1985-S-22,SI,1985.0,22.0,-12.0,101.2,25.0,50.0,0.557,15.0,27.225605,27.870848,28.403025
1985-10-12 06:00:00,1985-N-22,WP,1985.0,22.0,10.7,120.3,30.0,100.0,0.91275,20.0,26.828287,28.43613,28.97194
1985-02-13 12:00:00,1985-S-23,SI,1985.0,23.0,-14.9,44.1,25.0,50.0,0.3435,15.0,27.225605,28.770132,29.122843
1985-10-14 00:00:00,1985-N-23,WP,1985.0,23.0,6.1,159.0,10.0,50.0,0.31875,15.0,26.828287,29.355074,29.497292
1985-02-16 06:00:00,1985-S-24,SI,1985.0,24.0,-12.6,124.3,30.0,75.0,1.0265,15.0,27.225605,29.885801,29.33571
1985-10-23 00:00:00,1985-N-24,WP,1985.0,24.0,12.8,125.9,30.0,100.0,1.28725,25.0,26.828287,28.156511,29.045574
1985-11-19 18:00:00,1985-N-25,WP,1985.0,25.0,6.8,108.1,25.0,45.0,0.278,10.0,27.065176,27.626825,28.010885
1985-02-19 06:00:00,1985-S-26,SP,1985.0,26.0,-12.7,145.2,25.0,45.0,0.1875,15.0,27.225605,27.844376,28.927303
1985-12-16 06:00:00,1985-N-26,WP,1985.0,26.0,7.6,114.6,25.0,60.0,0.42175,15.0,27.050636,27.737848,28.271154
1985-03-04 06:00:00,1985-S-27,SP,1985.0,27.0,-16.6,170.7,30.0,55.0,0.365,10.0,27.559328,28.365835,28.833807
1985-12-17 00:00:00,1985-N-27,WP,1985.0,27.0,9.2,140.0,20.0,100.0,1.3175,30.0,27.050636,28.860292,28.813267
1985-03-06 12:00:00,1985-S-28,SI,1985.0,28.0,-11.4,93.5,30.0,115.0,2.14225,30.0,27.559328,28.13346,28.449076
1985-03-08 06:00:00,1985-S-29,SI,1985.0,29.0,-12.3,117.7,35.0,55.0,0.2095,15.0,27.559328,28.787998,29.267756
1985-03-12 00:00:00,1985-S-30,SP,1985.0,30.0,-14.6,170.4,25.0,135.0,2.0705,30.0,27.559328,28.504877,29.14286
1985-03-19 06:00:00,1985-S-31,SI,1985.0,31.0,-13.6,138.3,25.0,120.0,1.72475,25.0,27.559328,29.509468,29.758202
1985-03-28 12:00:00,1985-S-32,SP,1985.0,32.0,-13.3,150.4,25.0,60.0,0.4655,15.0,27.559328,28.618755,28.83394
